Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
10/03/2004;18.00.00;2,4;1525;190;9,7;1228;318;1306;159;2112;-200;21,2;43,8;1,3563
10/03/2004;19.00.00;2,1;1406;187;10,6;1396;189;1150;92;1749;680;17,6;49,5;1,2617
10/03/2004;20.00.00;2,2;1390;304;11,1;1284;315;1322;121;1924;980;17,2;50,2;1,1979
10/03/2004;21.00.00;2,3;1369;189;13,0;1436;285;1357;167;1871;643;20,2;43,0;1,0319
10/03/2004;22.00.00;1,7;1256;183;13,4;1448;281;1377;140;2084;618;22,2;46,9;1,0478
10/03/2004;23.00.00;1,6;1320;238;8,5;1193;233;1008;84;1616;1148;15,1;54,1;0,8436
11/03/2004;00.00.00;2,0;1381;253;9,6;1450;217;1171;117;1917;655;15,2;51,4;0,8919
11/03/2004;01.00.00;1,7;1309;129;14,2;1444;251;1385;154;2034;743;15,1;68,4;0,8300
11/03/2004;02.00.00;1,4;1276;213;13,2;1434;279;1319;138;2065;730;14,6;34,8;1,0493
11/03/2004;03.00.00;1,7;1301;-200;9,5;1310;215;1374;150;2122;791;15,5;48,8;0,8862
11/03/2004;04.00.00;1,4;1350;188;10,1;1261;276;1161;120;1886;597;10,2;62,7;0,8040
11/03/2004;05.00.00;1,5;1270;230;15,2;1502;227;1181;104;1856;706;10,7;75,6;0,7984
11/03/2004;06.00.00;1,8;1439;194;13,4;1504;237;1223;98;1990;1148;9,1;40,5;0,8506
11/03/2004;07.00.00;1,3;1257;173;10,5;1403;289;1226;154;2051;888;11,3;53,3;1,1706
11/03/2004;08.00.00;1,5;1263;-200;13,3;1592;276;1129;187;1916;-200;10,6;51,0;0,9312
11/03/2004;09.00.00;2,0;1355;198;11,0;1328;216;1349;147;2055;893;12,2;30,6;0,7249
11/03/2004;10.00.00;1,9;1464;218;12,2;1333;280;1372;166;1977;416;12,0;44,8;0,9036
11/03/2004;11.00.00;2,4;1524;263;12,3;1336;257;1270;124;1993;724;13,5;59,6;0,8292
11/03/2004;12.00.00;2,2;1394;227;13,7;1627;334;1373;142;1969;876;11,6;36,9;0,8038
11/03/2004;13.00.00;2,1;1417;211;13,5;1508;261;1236;139;1823;1174;16,7;62,2;0,9741
11/03/2004;14.00.00;2,9;1470;254;14,3;1434;350;1464;170;2153;935;11,6;48,9;0,9811
11/03/2004;15.00.00;-200,0;-200;245;13,8;1423;346;1537;150;2180;842;19,0;47,2;1,1466
