Datetime,CO_GT,PT08_S1_CO,NMHC_GT,C6H6_GT,PT08_S2_NMHC,NOx_GT,PT08_S3_NOx,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,IsWeekend,Hour_sin,Hour_cos,Month_sin,Month_cos
2004-03-11 01:00:00,1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,0,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17
2004-03-11 02:00:00,0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2004-03-11 03:00:00,0.6,1010.0,19.0,1.7,561.0,45.0,1705.0,60.0,1235.0,501.0,10.3,60.2,0.7517,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17
2004-03-11 04:00:00,0.6,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-11 05:00:00,0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17
2004-03-11 06:00:00,0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-11 19:00:00,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17
2004-03-11 20:00:00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-11 23:00:00,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17
2004-03-12 03:00:00,0.8,889.0,21.0,1.9,574.0,82.0,1680.0,91.0,1187.0,512.0,7.0,62.3,0.6261,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17
2004-03-12 04:00:00,0.8,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-12 05:00:00,0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17
2004-03-12 06:00:00,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-12 09:00:00,4.4,1545.0,202.0,22.1,1353.0,307.0,767.0,141.0,2058.0,1588.0,9.2,56.2,0.6561,0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17
2004-03-12 20:00:00,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-12 23:00:00,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17
2004-03-13 05:00:00,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,1,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17
2004-03-13 06:00:00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-13 16:00:00,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,1,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17
2004-03-14 00:00:00,2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,1,0.0,1.0,1.0,6.123233995736766e-17
2004-03-14 04:00:00,2.4,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-14 05:00:00,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,1,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17
2004-03-14 06:00:00,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-14 07:00:00,0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,1,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17
2004-03-14 20:00:00,5.9,1898.0,341.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,1,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-15 08:00:00,5.5,1797.0,336.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2004-03-15 09:00:00,8.1,1961.0,618.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17
2004-03-15 10:00:00,5.8,1771.0,438.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17
2004-03-15 18:00:00,6.1,1917.0,471.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17
2004-03-15 19:00:00,8.0,2040.0,685.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17
2004-03-15 20:00:00,6.5,1895.0,538.0,31.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-16 02:00:00,0.8,968.0,29.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2004-03-16 03:00:00,0.7,929.0,25.0,2.3,608.0,43.0,1376.0,61.0,1364.0,826.0,13.6,62.1,0.9636,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17
2004-03-16 04:00:00,0.7,941.0,25.0,2.6,626.0,59.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-16 05:00:00,0.6,937.0,17.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17
2004-03-16 06:00:00,0.9,1017.0,27.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-16 10:00:00,5.3,1735.0,437.0,25.1,1431.0,396.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672,0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17
2004-03-16 13:00:00,4.0,1579.0,366.0,22.3,1359.0,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,0,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17
2004-03-16 21:00:00,5.1,1800.0,349.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17
2004-03-17 03:00:00,0.7,933.0,26.0,2.6,625.0,70.0,1292.0,79.0,1332.0,884.0,13.1,57.9,0.8666,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17
2004-03-17 04:00:00,0.7,883.0,17.0,1.9,577.0,54.0,1396.0,60.0,1303.0,808.0,12.7,57.9,0.8447,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-17 05:00:00,0.5,869.0,11.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17
2004-03-17 06:00:00,0.5,891.0,18.0,1.9,576.0,46.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-17 09:00:00,6.6,1852.0,534.0,36.4,1696.0,377.0,553.0,127.0,2535.0,1931.0,14.1,50.0,0.802,0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17
2004-03-17 10:00:00,4.3,1522.0,368.0,21.3,1331.0,280.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048,0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17
2004-03-17 18:00:00,5.0,1557.0,386.0,27.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17
2004-03-17 19:00:00,7.6,1973.0,577.0,38.4,1737.0,411.0,617.0,194.0,2414.0,2306.0,23.1,26.5,0.7403,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17
2004-03-17 20:00:00,6.7,1975.0,523.0,35.1,1667.0,347.0,597.0,182.0,2416.0,2359.0,20.5,38.2,0.9133,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-17 21:00:00,5.7,1795.0,472.0,27.2,1485.0,336.0,653.0,180.0,2174.0,2050.0,19.1,42.6,0.9294,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17
2004-03-18 02:00:00,1.0,1064.0,44.0,5.5,787.0,61.0,1057.0,88.0,1407.0,1115.0,14.8,52.1,0.8686,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2004-03-18 03:00:00,0.7,970.0,42.0,3.6,687.0,61.0,1196.0,88.0,1351.0,969.0,13.9,53.9,0.8501,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17
2004-03-18 04:00:00,0.7,954.0,28.0,2.9,645.0,60.0,1260.0,78.0,1334.0,925.0,11.6,61.9,0.8442,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-18 05:00:00,0.6,931.0,20.0,2.5,623.0,37.0,1293.0,57.0,1307.0,828.0,12.0,58.9,0.8233,0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17
2004-03-18 06:00:00,0.7,938.0,26.0,3.0,650.0,68.0,1251.0,71.0,1333.0,893.0,10.9,62.1,0.8113,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-18 08:00:00,4.7,1643.0,319.0,23.3,1384.0,339.0,667.0,124.0,2094.0,1610.0,11.5,60.0,0.8117,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2004-03-18 09:00:00,6.6,1934.0,506.0,35.8,1682.0,421.0,541.0,151.0,2468.0,2051.0,14.3,50.6,0.8186,0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17
2004-03-18 10:00:00,4.5,1617.0,506.0,21.3,1333.0,349.0,686.0,150.0,2010.0,1819.0,17.8,40.5,0.821,0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17
2004-03-18 11:00:00,2.8,1473.0,506.0,14.3,1127.0,224.0,831.0,152.0,1752.0,1568.0,20.8,34.4,0.8365,0,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17
2004-03-18 12:00:00,2.2,1379.0,506.0,12.5,1068.0,171.0,899.0,139.0,1663.0,1374.0,23.8,28.2,0.8219,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17
2004-03-18 13:00:00,2.2,1385.0,506.0,12.2,1056.0,149.0,891.0,133.0,1648.0,1268.0,24.2,28.7,0.8515,0,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17
2004-03-18 14:00:00,2.3,1379.0,506.0,13.1,1087.0,137.0,901.0,126.0,1660.0,1144.0,25.2,24.9,0.7829,0,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17
2004-03-18 15:00:00,2.2,1322.0,506.0,14.4,1129.0,149.0,934.0,128.0,1639.0,1109.0,27.0,17.8,0.6275,0,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17
2004-03-18 16:00:00,2.8,1496.0,506.0,16.8,1205.0,172.0,822.0,169.0,1767.0,1347.0,27.1,23.1,0.818,0,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17
2004-03-18 17:00:00,2.7,1409.0,506.0,14.5,1131.0,166.0,873.0,149.0,1689.0,1206.0,25.8,23.9,0.7832,0,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17
2004-03-18 18:00:00,3.7,1513.0,506.0,21.5,1338.0,214.0,764.0,156.0,1957.0,1397.0,23.0,26.8,0.7446,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17
2004-03-18 19:00:00,5.1,1667.0,506.0,26.4,1464.0,280.0,683.0,168.0,2118.0,1588.0,20.7,31.1,0.7523,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17
2004-03-18 20:00:00,5.1,1667.0,506.0,26.0,1453.0,276.0,684.0,176.0,2051.0,1569.0,18.6,36.2,0.7676,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-18 21:00:00,3.2,1430.0,506.0,14.1,1121.0,178.0,814.0,135.0,1732.0,1322.0,16.0,48.4,0.8768,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17
2004-03-18 22:00:00,2.1,1333.0,506.0,10.3,989.0,129.0,885.0,121.0,1621.0,1194.0,14.5,57.8,0.9456,0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17
2004-03-18 23:00:00,1.7,1262.0,506.0,8.3,911.0,95.0,948.0,99.0,1545.0,1062.0,13.1,64.2,0.9606,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17
2004-03-19 01:00:00,1.6,1134.0,506.0,6.6,840.0,103.0,1021.0,96.0,1501.0,917.0,11.9,71.1,0.9915,0,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17
