Horizon,Model,Accuracy,F1
1h,LogisticRegression,0.48838311996206735,0.48872795638286376
1h,XGBoost,0.6927453769559033,0.6688653275835806
1h,RandomForest,0.7159791370317686,0.6839864249776753
1h,Naive_Baseline,0.7558084400189663,0.7337098206924414
6h,LogisticRegression,0.38027501185395923,0.34944289147687463
6h,XGBoost,0.5803698435277382,0.5462397859339777
6h,RandomForest,0.6064485538169748,0.5475615896030983
6h,Naive_Baseline,0.3921289710763395,0.3633065334368943
12h,LogisticRegression,0.38264580369843526,0.3583188167202533
12h,XGBoost,0.5557136083451872,0.5077851583862792
12h,RandomForest,0.5580844001896633,0.49791037327529103
12h,Naive_Baseline,0.41299193930772876,0.39342758333283956
24h,LogisticRegression,0.3959222380275012,0.3821058508484068
24h,XGBoost,0.5462304409672831,0.5089705632219532
24h,RandomForest,0.5538169748696065,0.5039441094221794
24h,Naive_Baseline,0.5926979611190137,0.5655820392145114
