Pollutant,Horizon,Model,RMSE,MAE,R2
CO_GT,1h,LinearRegression,0.8211945070953263,0.5755181977692302,0.625928034041152
CO_GT,1h,RandomForest,0.8600156874367231,0.6380412951665885,0.5897242603688118
CO_GT,1h,XGBoost,1.0097693988707293,0.7171970366886221,0.43440247403547694
CO_GT,1h,Naive_Baseline,0.7727042107289652,0.486532144533083,0.6688005183804849
CO_GT,6h,LinearRegression,1.3317534752827502,1.1120568110712965,0.01779381883973241
CO_GT,6h,RandomForest,1.2601471966387947,0.9624388523047976,0.12057756533057928
CO_GT,6h,XGBoost,1.3688973036005487,1.0328377298111846,-0.03775950874775469
CO_GT,6h,Naive_Baseline,1.757072792385745,1.3155691439322672,-0.7097574042476036
CO_GT,12h,LinearRegression,1.2755689871364435,1.0378472386413131,0.10068418171720728
CO_GT,12h,RandomForest,1.3770359813265318,1.0884721698113207,-0.04808113902392064
CO_GT,12h,XGBoost,1.3880478636745195,1.0368682528570083,-0.06491075462449358
CO_GT,12h,Naive_Baseline,1.7296048736251655,1.2983490566037736,-0.6534768912991042
CO_GT,24h,LinearRegression,1.1950063943572005,0.8972345941811933,0.2137865873764122
CO_GT,24h,RandomForest,1.4688044855249767,1.147128083491461,-0.18775801704177209
CO_GT,24h,XGBoost,1.6392100799869775,1.2297421191612248,-0.4793441621014609
CO_GT,24h,Naive_Baseline,1.2690633639152453,0.8692599620493359,0.11332063040627405
NMHC_GT,1h,LinearRegression,35.62408124183147,31.871337510200604,0.0
NMHC_GT,1h,RandomForest,95.43629753229598,60.02425621773815,0.0
NMHC_GT,1h,XGBoost,110.53361625891328,79.81263713129582,0.0
NMHC_GT,1h,Naive_Baseline,0.0,0.0,1.0
NMHC_GT,6h,LinearRegression,21.939614844040417,17.90962279212874,0.0
NMHC_GT,6h,RandomForest,99.47627032399691,70.03872060206962,0.0
NMHC_GT,6h,XGBoost,111.42575757973921,77.75984334334493,0.0
NMHC_GT,6h,Naive_Baseline,0.0,0.0,1.0
NMHC_GT,12h,LinearRegression,24.666376038505003,19.379148463266034,0.0
NMHC_GT,12h,RandomForest,130.7247063115303,82.33436320754717,0.0
NMHC_GT,12h,XGBoost,90.48455870654136,61.64002668092836,0.0
NMHC_GT,12h,Naive_Baseline,0.0,0.0,1.0
NMHC_GT,24h,LinearRegression,20.682968550891665,17.162640053141036,0.0
NMHC_GT,24h,RandomForest,109.08922664202382,72.74579696394687,0.0
NMHC_GT,24h,XGBoost,134.18898607284424,93.1099988337486,0.0
NMHC_GT,24h,Naive_Baseline,0.0,0.0,1.0
C6H6_GT,1h,LinearRegression,3.519841744692705,2.328543187256753,0.7129276643120606
C6H6_GT,1h,RandomForest,3.080917441002454,2.0108545283904267,0.7800595096198046
C6H6_GT,1h,XGBoost,3.47675440612714,2.2445756420772827,0.7199129077115496
C6H6_GT,1h,Naive_Baseline,3.7122553766180295,2.291553261379634,0.6806839433174681
C6H6_GT,6h,LinearRegression,6.201939767375597,5.153313142923869,0.10832287094483584
C6H6_GT,6h,RandomForest,5.647056693376879,4.190904985888994,0.2607406350289627
C6H6_GT,6h,XGBoost,6.122983459646606,4.588448560377014,0.13088206566791638
C6H6_GT,6h,Naive_Baseline,8.336259473719029,6.1529162746942605,-0.6109979477669001
C6H6_GT,12h,LinearRegression,5.736468288944476,4.56916751278072,0.2379342874327618
C6H6_GT,12h,RandomForest,6.009994943017368,4.66937358490566,0.1635279368350403
C6H6_GT,12h,XGBoost,7.29212086977449,5.437793449777056,-0.2314334459645213
C6H6_GT,12h,Naive_Baseline,8.58088210709418,6.524716981132075,-0.7051677025360443
